Average Taxable Income $,Gender Rank,Gender,Individuals,Number of Records,Occupation
"$105,855",54,Female,9,1,State governor
"$105,800",55,Female,151,1,Drilling plant operator; Oil rig worker – driller
"$105,721",56,Female,3531,1,Dentist
"$105,619",57,Female,4,1,Tennis player
"$104,192",58,Female,5755,1,School principal
"$103,405",59,Female,5232,1,IT manager – other
"$103,079",60,Female,17522,1,Policy and planning manager; Public policy manager; Public servant – executive level 1 or 2; Public servant – first assitant secretary or secretary; Public servant – senior agency executive; Public se
"$102,266",61,Female,311,1,Mine deputy; Mine supervisor
"$101,540",62,Female,915,1,IT business development manager
"$101,533",63,Female,1125,1,Economist
"$101,461",64,Female,322,1,Equities analyst; Investment dealer
"$101,256",65,Female,16484,1,Human resource manager; Industrial relations manager; Personnel and industrial relations manager
"$100,790",66,Female,300,1,Faculty head; Head of school – TAFE
"$100,617",67,Female,1933,1,Engineer – other professional
"$100,200",68,Female,322,1,Air traffic controller; Flight service officer – air traffic control
"$99,997",69,Female,125,1,Investment broker
"$99,891",70,Female,27816,1,Lawyer; Solicitor
"$99,447",71,Female,8517,1,Bank manager; Financial institution branch manager
"$99,151",72,Female,994,1,Air force senior officer; Army senior officer; Defence force personnel – senior officer; Navy senior officer; RAAF senior officer
"$99,131",73,Female,8,1,Mountain guide
"$98,525",74,Female,13550,1,Finance manager; Financial controller
"$98,194",75,Female,1290,1,Chief information officer; IT professional – chief information officer
"$97,453",76,Female,2432,1,Geologist
"$97,247",77,Female,341,1,Newsreader – television; Television announcer; Television presenter
"$95,694",78,Female,191,1,Mining blasting worker; Powder monkey; Shot firer
"$95,509",79,Female,1212,1,Nursing clinical director
"$95,151",80,Female,49,1,Consultant – mining engineer
"$94,739",81,Female,6,1,Bulldozer operator
"$94,463",82,Female,1930,1,Manufacturing company manager; Publishing director
"$93,908",83,Female,6588,1,IT project manager; Data processing manager
"$93,445",84,Female,354,1,Consultant – engineering Consultant – other
"$93,425",85,Female,6398,1,Consultant – management
"$93,125",86,Female,1663,1,Chemical engineer
"$91,926",87,Female,2482,1,Coal miner; Miner; Mining technician; Opal miner; Prospector
"$91,823",88,Female,984,1,Wholesaling company director; Wholesaler
"$91,602",89,Female,1744,1,Earthmoving plant operator – general
"$91,303",90,Female,3005,1,Computing systems analyst; Methods analyst – computing
"$90,935",91,Female,1709,1,Pathologist
"$90,810",92,Female,336,1,Commissioned policy officer; Police inspector
"$90,354",93,Female,69,1,Marine navigator; Ship’s officer
"$89,702",94,Female,67,1,Power generation plant operator
"$89,479",95,Female,175,1,Train controller
"$88,972",96,Female,3084,1,Consultant – IT business analyst Apprentice or trainee
"$88,877",97,Female,4370,1,Corporate services manager
"$88,232",98,Female,209,1,Meteorologist
"$88,025",99,Female,50,1,Excavator operator
"$87,674",100,Female,1115,1,IT account manager
"$87,649",101,Female,498,1,Film director; Radio director; Stage director; Television director
"$87,460",102,Female,472,1,Industrial pharmacist
"$86,925",103,Female,658,1,Fireperson – railway or locomotive; Locomotive driver; Train driver
"$86,495",104,Female,92,1,Marine engineer
"$85,882",105,Female,40,1,Train examiner
"$85,424",106,Female,18736,1,Professor; University lecturer
"$85,396",107,Female,1305,1,Environmental manager
"$85,169",108,Female,1635,1,Analyst programmer
"$84,868",109,Female,1456,1,Electrical engineer
"$84,605",110,Female,308,1,IT security specialist
"$84,510",111,Female,773,1,Computer network and systems engineer
"$84,450",112,Female,2580,1,Construction project manager; Building and contruction manager
"$84,028",113,Female,905,1,Detective – police
"$83,428",114,Female,8,1,Master fisher
"$83,411",115,Female,418,1,Computing professional – other support technicians
"$83,026",116,Female,958,1,Consultant – financial investment
"$82,949",117,Female,282,1,Geotechnical engineer
"$82,733",118,Female,14743,1,Business analyst
"$82,355",119,Female,184,1,Insurance risk surveyor
"$82,337",120,Female,1075,1,Regional education manager
"$82,251",121,Female,1378,1,Mechanical engineer
"$82,020",122,Female,1550,1,Fire safety officer; Safety inspector
"$81,615",123,Female,4876,1,IT business analyst
"$80,921",124,Female,149,1,Consultant – urban and regional planner
"$80,916",125,Female,225,1,Consultant – medical and pharmaceutical products sales representative
"$80,833",126,Female,1002,1,Environmental engineer
"$80,538",127,Female,703,1,Medical physicist; Physicist
"$80,496",128,Female,252,1,Industrial engineer
"$80,430",129,Female,4221,1,Company rep. – medical and pharmaceutical products; Sales representative – medical and pharmaceutical products
"$80,359",130,Female,61,1,Consultant – civil engineer
"$80,298",131,Female,2027,1,Management accountant
"$80,257",132,Female,5059,1,Applications programmer; Computer programmer; Developer programmer; Systems programmer – computing
"$80,073",133,Female,161,1,Program director – television or radio
"$80,035",134,Female,136,1,Rigger – construction
"$79,973",135,Female,25,1,Naval architect
"$79,890",136,Female,44,1,Railway signal operator
"$79,833",137,Female,1829,1,Internal auditor
"$79,791",138,Female,39,1,Consultant – chemical or material engineer
"$79,762",139,Female,89,1,Marine certification and surveillance manager; Marine safety officer; Ship’s purser
"$79,600",140,Female,2677,1,Supply and distribution manager
"$79,406",141,Female,68481,1,Corporate general manager
"$79,294",142,Female,3395,1,Nursing supervisor or manager
"$78,978",143,Female,27,1,Railway track plant operator
"$78,596",144,Female,632,1,Organisational psychologist
"$78,548",145,Female,11,1,Boiler attendant; Engine or boiler operator
"$78,482",146,Female,221,1,Tax investigator
"$78,400",147,Female,1888,1,Sonographer
"$78,308",148,Female,36,1,Commissioner fire officer; Fire investigator
"$78,272",149,Female,376,1,Bulk materials handling plant operator
"$78,203",150,Female,796,1,Air force senior non-commissioned officer; Army senior non-commissioner officer; Defrence force personnel – senior non-commissioned officer; Navy senior non-commissioned officer; RAAF senior non-commi
"$78,191",151,Female,343,1,Commodities broker
"$78,067",152,Female,378,1,Telecommunications engineer
"$77,775",153,Female,3568,1,Civil engineer
"$77,766",154,Female,586,1,Maintenance planner
"$77,744",155,Female,3981,1,Occupational health and safety adviser
"$77,553",156,Female,59,1,Ship’s captain or master
"$77,421",157,Female,28263,1,Accounting practice manager; Architectural practice manager; Legal practice manager; Manager – other practice; Veterinary practice manager
"$77,366",158,Female,13,1,Aircraft refueller
"$77,215",159,Female,83,1,Telecommunications network planner
"$76,689",160,Female,4566,1,Policy adviser or analyst
"$76,673",161,Female,955,1,Primary health organisation manager
"$76,563",162,Female,5326,1,Financial adviser; Financial planner
"$76,431",163,Female,382,1,Electronics engineer
"$76,397",164,Female,559,1,Production or plant engineer
"$76,342",165,Female,179,1,Telecommunications network engineer
"$76,331",166,Female,1907,1,Optometrist
"$75,697",167,Female,3435,1,Environmental scientist
"$75,535",168,Female,93,1,Driller’s assistant
"$75,029",169,Female,182,1,Aeronautical engineer
"$74,737",170,Female,196,1,Railway station manager
"$74,737",171,Female,901,1,Statistician
"$74,667",172,Female,69,1,Forestry production manager
"$74,644",173,Female,272,1,Chemical plant operator; Paint maker
"$74,623",174,Female,202,1,Materials engineer
"$74,509",175,Female,2670,1,Public relations manager
"$74,416",176,Female,43,1,Helicopter pilot
"$74,288",177,Female,4204,1,Town planner; Urban and regional planner
"$74,211",178,Female,252,1,Transport engineer
"$73,889",179,Female,606,1,Consultant – public relations professional
"$73,780",180,Female,60352,1,Sales and marketing manager; Marketing manager; Sales director or manager
"$73,639",181,Female,5936,1,Research and development manager
"$73,593",182,Female,280,1,Marine steward; Railway employee – steward
"$73,564",183,Female,139,1,Mathematician
"$73,430",184,Female,645,1,Quantity surveyor
"$73,412",185,Female,626,1,Aeroplane pilot
"$73,363",186,Female,27,1,Biophysicist
"$73,335",187,Female,525,1,Structural engineer
"$73,178",188,Female,27,1,Concrete batching plant operator
"$73,029",189,Female,734,1,Builder – professional; Project builder
"$72,940",190,Female,3605,1,Resident medical officer
"$72,886",191,Female,839,1,Electrical appliance servicer; Electrical fitter; Electrical mechanic; Electrician – general; Mechanic – electrical; Repairer – electrical appliances; Servicer – electrical appliances
"$72,877",192,Female,3500,1,Consultant – human resources
"$72,682",193,Female,846,1,Television journalist
"$72,428",194,Female,14449,1,Investigator – police; Police officer
"$72,172",195,Female,1185,1,Industrial relations officer; Workplace relations adviser
"$72,158",196,Female,222,1,Engineering technologist
"$72,091",197,Female,477,1,Consultant – medical
"$72,085",198,Female,906,1,Mining labourer
"$71,718",199,Female,697,1,Consultant – occupational health and safety
"$71,552",200,Female,78380,1,Accountant; Bank accountant; Chartered accountant; Financial analyst
"$71,403",201,Female,345,1,Intelligence officer
"$71,377",202,Female,241,1,Artistic director
"$71,289",203,Female,346,1,Wine maker
"$71,288",204,Female,1491,1,Fraud investigator; Inspector – other regulatory; Investigator – other government
"$71,274",205,Female,448,1,IT network analyst
"$70,895",206,Female,3507,1,Advertising director; Advertising manager
"$70,777",207,Female,407,1,TAFE registrar; University registrar
"$70,712",208,Female,40,1,Land economist
"$70,710",209,Female,2495,1,Buyer – retail goods; Company rep. – retail buying
"$70,660",210,Female,4893,1,Computer systems administrator
"$70,650",211,Female,1564,1,Air force junior officer; Army junior officer; Defence force personnel – junior officer; Navy junior officer; RAAF junior officer
"$70,591",212,Female,112,1,"Technical director – film, television, radio or stage"
"$70,432",213,Female,17,1,Consultant – industrial or mechanical engineer
"$70,116",214,Female,223,1,Stevedore; Waterside worker; Wharf labourer
"$69,987",215,Female,735,1,IT systems test engineer
"$69,919",216,Female,3455,1,Art director – publishing or advertising; Producer – media
"$69,858",217,Female,129,1,Patents examiner
"$69,454",218,Female,7258,1,Radiographer
"$69,430",219,Female,3,1,Plumbing inspector
"$69,125",220,Female,493,1,IT quality assurance engineer
"$69,049",221,Female,1596,1,Audiologist
"$68,747",222,Female,4179,1,Concrete mixer driver; Lorry driver; Semi-trailer driver; Transport driver; Truck driver – general
"$68,746",223,Female,130,1,Fitter
"$68,744",224,Female,4691,1,Software engineer
"$68,720",225,Female,1585,1,Facilities manager
"$68,690",226,Female,3219,1,Guard – prison; Prison officer or warder
"$68,670",227,Female,131,1,Metallurgical and materials technician
"$68,526",228,Female,462,1,Surveyor
"$68,452",229,Female,4240,1,Health practice manager
"$68,277",230,Female,156,1,Consultant – construction manager
"$68,174",231,Female,1367,1,"Owner – bus, truck, limnousine or hire car; Owner-driver – bus; Owner-driver – truck; Transport company manager"
"$68,154",232,Female,1624,1,Customs investigator or officer
"$68,126",233,Female,24,1,Consultant – electrical engineer
"$68,094",234,Female,11624,1,Communications officer – public relations; Media officer; Public relations officer
"$68,069",235,Female,10,1,Air conditioning and mechanical services plumber
"$67,861",236,Female,822,1,IT network administrator
"$67,832",237,Female,219,1,Apprentice or trainee – insurance claims investigator
"$67,389",238,Female,1164,1,Biochemist
"$67,129",239,Female,360,1,Consultant – clinical nurse
"$66,982",240,Female,3169,1,Insurance broker
"$66,925",241,Female,143,1,Tram driver
"$66,818",242,Female,4906,1,Environmental adviser; Environmental auditor; Environmental consultant; Environmental officer
"$66,700",243,Female,509,1,Railway employee – guard; Railway employee – station assistant
"$66,699",244,Female,2945,1,Hospital pharmacist
"$66,628",245,Female,387,1,Building construction supervisor
"$66,621",246,Female,20369,1,Human resource officer; Personnel officer; Recruitment officer
"$66,394",247,Female,2958,1,Change management facilitator; Industry analyst; Quality auditor; Skills auditor
"$66,376",248,Female,1030,1,Parole officer
"$66,357",249,Female,107,1,Aircraft maintenance engineer – mechanical
"$66,271",250,Female,2326,1,Real estate agency manager
"$66,231",251,Female,1972,1,IT sales representative
"$66,212",252,Female,4878,1,Quality assurance manager
"$66,106",253,Female,127,1,Waste water plant operator; Water plant operator
"$65,835",254,Female,3618,1,Chemist – industrial or research
"$65,823",255,Female,12,1,Gasfitter; Plumber – gasfitter
"$65,807",256,Female,1301,1,Agricultural scientist; Agronomist
"$65,765",257,Female,5508,1,Contract administrator
"$65,723",258,Female,753,1,Immigration officer
"$65,567",259,Female,1251,1,Compliance officer – quarantine; Quarantine inspector
"$65,548",260,Female,4069,1,Clinical psychologist
"$65,538",261,Female,1338,1,Educational psychologist
"$65,412",262,Female,1830,1,Health information manager
"$65,323",263,Female,1825,1,Funds administrator; Stockbroking clerk
"$65,185",264,Female,298,1,"Art director – film, television or stage"
"$65,054",265,Female,921,1,Valuer
"$64,885",266,Female,2222,1,Call centre manager; Contact centre manager
"$64,863",267,Female,64080,1,Administrative service officer – levels 5–6; Program or project administrator; Public servant – administrative service officer – levels 5–6
"$64,845",268,Female,457,1,Telecommunications technical officer
"$64,829",269,Female,1363,1,IT support engineer
"$64,796",270,Female,360,1,Geographic information systems manager; Spatial scientist – other
"$64,768",271,Female,518,1,Cost clerk
"$64,693",272,Female,391,1,Farmer or farm overseer – mixed crop
"$64,600",273,Female,85662,1,Governess – teaching (secondary level); High school teacher; Secondary school teacher
"$64,567",274,Female,7083,1,Registered nurse – mental health; Registered nurse – psychiatric
"$64,492",275,Female,1193,1,Technical writer
"$64,450",276,Female,4887,1,Veterinarian
"$64,444",277,Female,93,1,Soil scientist
"$64,369",278,Female,622,1,Fleet manager
"$64,341",279,Female,3286,1,Nurse educator
"$64,274",280,Female,68,1,Aircraft maintenance engineer – avionics
"$64,192",281,Female,694,1,Consultant – environmental
"$64,092",282,Female,419,1,Nuclear medicine technologist
"$64,045",283,Female,690,1,"Articled clerk; Coroner; Court registrar – Court of Appeals; Court registrar – Federal, Supreme or Family Courts; Judicial registrar"
"$64,043",284,Female,876,1,IT trainer
"$63,941",285,Female,6757,1,Health and welfare service manager – other
"$63,914",286,Female,83,1,Mechanical engineering technician or associate
"$63,913",287,Female,18,1,Building insulation installer
"$63,736",288,Female,8580,1,Medical laboratory scientist
"$63,610",289,Female,337,1,Cartographer
"$63,419",290,Female,236,1,Air safety inspector or investigator; Aircraft navigator; Airways surveyor; Airworthiness surveyor; Aviation safety inspector; Flight engineer
"$63,265",291,Female,5128,1,Ambulance officer; Paramedic
"$63,236",292,Female,1874,1,Computer servicer or technician; IT technician; Poker machine servicer; Radio technician – domestic repairs; Television servicer or repairer; Vending machine servicer; Video technician – repairs
"$63,150",293,Female,15052,1,Registered nurse – critical care and emergency
"$62,905",294,Female,561,1,Biotechnologist
"$62,783",295,Female,258,1,Insurance investigator
"$62,754",296,Female,709,1,Communications operator
"$62,741",297,Female,423,1,Ecologist – forestry; Forest ranger; Forester – scientist
"$62,695",298,Female,752,1,Emergency service worker
"$62,674",299,Female,423,1,Consultant – workplace relations
"$62,384",300,Female,9,1,Paper mill operator; Pulp mill operator
"$62,346",301,Female,1202,1,Microbiologist
"$62,284",302,Female,2784,1,Market research analyst
"$62,202",303,Female,363,1,Video production manager
"$62,178",304,Female,31,1,Scaffolder
"$62,056",305,Female,6997,1,Real estate agent
"$61,968",306,Female,7389,1,Counselling psychologist; Psychologist – other; Sports psychologist
"$61,917",307,Female,258,1,Building inspector
"$61,891",308,Female,124,1,Railway track worker
"$61,709",309,Female,242,1,Biomedical engineer
"$61,681",310,Female,138,1,Fisheries officer
"$61,648",311,Female,686,1,Medical radiation therapist
"$61,563",312,Female,367,1,Brothel keeper; Laundrette owner; Marina manager; Nursing agency manager; Owner – taxi; Owner-driver – taxi; Taxi proprietor; Weight loss centre manager
"$61,540",313,Female,99,1,Water inspector
"$61,484",314,Female,10263,1,Pharmacist – retail
"$61,406",315,Female,13,1,Aircraft maintenance engineer – structures
"$61,343",316,Female,58,1,Consultant – security
"$61,291",317,Female,80,1,Casting director
"$61,239",318,Female,642,1,Consultant – tax accountant
"$61,222",319,Female,2568,1,External auditor
"$61,218",320,Female,880,1,Director – film and video editor; Film editor; Video editor
"$61,184",321,Female,10261,1,Staff development officer; Training officer
"$61,116",322,Female,696,1,Fire brigade officer; Fire fighter; Fire risk assessor
"$61,100",323,Female,120,1,Insurance loss adjuster
"$61,067",324,Female,2092,1,Laboratory manager
"$60,952",325,Female,312,1,Electrical engineering draftsperson
"$60,947",326,Female,4684,1,Architect
"$60,897",327,Female,296,1,Trust officer
"$60,870",328,Female,166,1,Civil engineering technician or associate
"$60,854",329,Female,20,1,Telecommunications field engineer
"$60,843",330,Female,66,1,Bobcat operator; Front end loader operator
"$60,825",331,Female,7764,1,Education advisor
"$60,804",332,Female,184,1,Radio dispatcher
"$60,571",333,Female,357,1,Retirement village manager
"$60,543",334,Female,3313,1,Clothing designer; Fashion designer
"$60,469",335,Female,1599,1,Dental hygienist
"$60,428",336,Female,3365,1,Biologist; Life scientist
"$60,326",337,Female,258,1,Aircraft draftsperson; Biomedical engineering technician or associate; Chemical engineering technician; Mining draftsperson; Shipbuilding draftsperson
"$60,324",338,Female,10,1,Drainer; Plumber – drainer
"$60,298",339,Female,102,1,Fitter and turner
"$60,268",340,Female,1920,1,Consultant – marketing specialist
"$60,195",341,Female,36,1,Agricultural engineer
"$60,187",342,Female,1225,1,Software tester
"$60,150",343,Female,562,1,Grain and livestock farmer or farm oveseer; Grazier; Livestock and mixed crop farmer or farm overseer
"$60,041",344,Female,8823,1,Recruitment consultant
"$59,942",345,Female,17,1,Wool buyer
"$59,909",346,Female,813,1,Geographer; Social scientist
"$59,872",347,Female,53,1,Apprentice or trainee – miner
"$59,718",348,Female,62,1,Automotive electrician
"$59,689",349,Female,1471,1,Finance broker
"$59,676",350,Female,4,1,Pressure welder
"$59,604",351,Female,6179,1,Middle school teacher
"$59,604",352,Female,30,1,Road roller operator
"$59,598",353,Female,3324,1,Newspaper journalist; Print journalist
"$59,586",354,Female,624,1,Health inspector
"$59,553",355,Female,9689,1,Librarian
"$59,520",356,Female,241,1,Botanist
"$59,474",357,Female,260,1,Conservator
"$59,466",358,Female,17344,1,Business development officer – marketing; Marketing specialist
"$59,446",359,Female,933,1,Post office manager
"$59,436",360,Female,777,1,Barrister
"$59,408",361,Female,684,1,Cardiac technician
"$59,363",362,Female,967,1,Web programmer
"$59,359",363,Female,595,1,Archivist
"$59,349",364,Female,40358,1,Teacher – other school
"$59,325",365,Female,25,1,Radiocommunications technician
"$59,165",366,Female,1539,1,Podiatrist
"$59,138",367,Female,568,1,Radio journalist
"$59,058",368,Female,1843,1,Travel agency manager
"$59,025",369,Female,1843,1,Associate editor; Newspaper editor; Periodical editor; Sub editor
"$58,838",370,Female,871,1,Chiropractor
"$58,777",371,Female,127197,1,Governess – teaching (primary level); Infant school teacher; Primary school teacher
"$58,777",372,Female,5257,1,Company rep. – real estate; Real estate salesperson
"$58,552",373,Female,6210,1,Purchasing officer or clerk
"$58,513",374,Female,939,1,Apprentice or trainee – real estate representative
"$58,511",375,Female,146,1,Teacher of the sight impaired
"$58,510",376,Female,9404,1,Registered nurse – surgical
"$58,375",377,Female,2340,1,Call centre team leader; Contact centre team leader
"$58,258",378,Female,2871,1,Advertising specialist; Media planner
"$58,233",379,Female,1369,1,Rehabilitation counsellor
"$58,216",380,Female,6,1,Exhaust and muffler repairer
"$58,102",381,Female,798,1,Funeral director; Undertaker
"$58,074",382,Female,1871,1,Customs agent; Import-export clerk
"$58,025",383,Female,40905,1,Registered nurse – medical
"$57,933",384,Female,16827,1,Midwife
"$57,899",385,Female,108,1,Stock and station agent
"$57,895",386,Female,891,1,Landscape architect
"$57,886",387,Female,16,1,Logging plant operator
"$57,837",388,Female,141,1,Motor mechanic – diesel
"$57,768",389,Female,4918,1,Registered nurse – perioperative
"$57,738",390,Female,13442,1,Physiotherapist
"$57,658",391,Female,529,1,Announcer – radio; Disc jockey – other than nightclub; Newsreader – radio; Radio announcer; Radio presenter
"$57,619",392,Female,1753,1,Food technologist
"$57,585",393,Female,20223,1,Nurse practitioner
"$57,575",394,Female,177,1,Crane operator; Hoist operator; Lift operator; Oil rig worker – operating crane
"$57,531",395,Female,62,1,Apprentice or trainee – security and correctional services
"$57,529",396,Female,1101,1,Welfare centre manager
"$57,394",397,Female,236,1,Mechanical engineering draftsperson
"$57,362",398,Female,41433,1,Executive assistant; Personal assistant
"$57,212",399,Female,524,1,Court reporter; Hansard reporter; Machine shorthand reporter
"$57,031",400,Female,5,1,Engineering patternmaker
"$56,991",401,Female,751,1,Physiologist
"$56,964",402,Female,12747,1,Claims consultant – insurance; Insurance assessor; Insurance consultant or clerk
"$56,844",403,Female,565,1,Construction estimator
"$56,833",404,Female,93,1,Betting agency manager
"$56,616",405,Female,81,1,Broadcast transmitter operator
"$56,472",406,Female,1134,1,Club licensee; Club manager – licensed club
"$56,461",407,Female,1265,1,Car salesperson; Caravan salesperson; Motor vehicle salesperson; New car salesperson; Used car salesperson
"$56,451",408,Female,380,1,Bus inspector; Traffic inspector; Transport operations inspector
"$56,381",409,Female,47,1,Electronic engineering draftsperson
"$56,331",410,Female,496,1,Security consultant
"$56,275",411,Female,4791,1,Registered nurse – child and family health
"$56,274",412,Female,5474,1,Business development officer – loans; Credit and loans officer
"$56,140",413,Female,4368,1,Air force – other ranks; Air force junior non-commissioned officer; Army – other ranks; Army junior non-commissioned officer; Defence force personnel – junior non-commissioned officer; Defence force p
"$56,107",414,Female,907,1,Boatswain; Deckhand; Merchant seaman; Sailor; Seafarer
"$56,096",415,Female,166,1,Equipment hire manager
"$56,084",416,Female,367,1,Anaesthetic technician
"$55,979",417,Female,1324,1,Dental therapist
"$55,902",418,Female,7922,1,Child care centre director
"$55,884",419,Female,839,1,Gallery curator; Museum curator
"$55,834",420,Female,326,1,Exporter; Importer
"$55,822",421,Female,522,1,Registered nurse – developmental disability
"$55,764",422,Female,1981,1,Research nurse
"$55,762",423,Female,521,1,Marine biologist
"$55,536",424,Female,984,1,Clerk of court; Court registrar – Children’s Court; Court registrar – County Court; Court registrar – Court of Petty Sessions; Court registrar – District Court; Court registrar – High Court; Court reg
"$55,436",425,Female,2353,1,Database administrator
"$55,282",426,Female,353,1,Communications officer – installation or maintenance; Telecommunications technician; Telephone technician Food trades workers
"$55,240",427,Female,96825,1,Nurse consultant – clinical; Nursing sister; Registered nurse – general; Registered nurse – other; Registered nurse – other; Student registered nurse
"$55,222",428,Female,702,1,Orthoptist
"$55,162",429,Female,346,1,Teacher of the hearing impaired
"$55,052",430,Female,1236,1,Book editor; Script editor
"$55,033",431,Female,5,1,Racing car driver
"$54,991",432,Female,2485,1,Sales representative – other technical products
"$54,990",433,Female,44509,1,Administrative service officer – levels 3–4; Public servant – administrative service officer – levels 3–4
"$54,983",434,Female,202,1,Conductor – music; Music director
"$54,927",435,Female,15,1,Cement production plant operator
"$54,795",436,Female,5,1,Miller – tyres; Tyre retreader
"$54,778",437,Female,78,1,Concrete products machine operator
"$54,757",438,Female,24,1,Marine engineer surveyor
"$54,691",439,Female,57,1,Communications equipment tradesperson; Telecommunications cable jointer or repairer
"$54,416",440,Female,10341,1,Remedial teacher; Special education teacher; Special needs teacher
"$54,397",441,Female,3,1,Apprentice or trainee – autoglazier
"$54,113",442,Female,1371,1,Careers adviser; Careers counsellor
"$53,927",443,Female,1051,1,Web administrator
"$53,850",444,Female,11317,1,Registered nurse – community health
"$53,788",445,Female,13989,1,Vocational education teacher or tutor
"$53,732",446,Female,672,1,Furniture designer; Industrial designer
"$53,707",447,Female,1059,1,Civil engineering draftsperson; Structural draftsperson
"$53,540",448,Female,240,1,Spatial science technician; Surveying or spatial science technician; Surveying technician
"$53,530",449,Female,12633,1,Occupational therapist
"$53,517",450,Female,446,1,Multimedia designer
"$53,358",451,Female,12,1,Lagger
"$53,315",452,Female,299,1,Historian
"$53,284",453,Female,1487,1,Web designer
"$53,178",454,Female,476,1,Conservation officer
"$53,118",455,Female,508,1,Apprentice or trainee – sales representative (wholesale)
"$53,099",456,Female,159,1,Orthotist; Prosthetist
"$53,046",457,Female,2294,1,Warehouse manager
"$52,933",458,Female,390,1,Ambassador; Archbishop; Bishop; Correctional institution governor; Prison governor
"$52,932",459,Female,6033,1,Speech pathologist; Speech therapist
"$52,918",460,Female,5229,1,Legal executive; Paralegal
"$52,885",461,Female,1212,1,Park ranger
"$52,830",462,Female,435,1,Bus conductor; Train conductor; Tram conductor; Transport conductor
"$52,771",463,Female,9,1,Tanker driver
"$52,760",464,Female,89,1,Social security assessor
"$52,744",465,Female,640,1,Agricultural field officer
"$52,739",466,Female,2856,1,Registered nurse – disability and rehabilitation
"$52,697",467,Female,217,1,Electronic engineering technician
"$52,668",468,Female,50140,1,"Bank employee; Bank officer; Bank teller; Business development officer – bank, etc.; Credit union employee"
"$52,657",469,Female,447,1,Author
"$52,643",470,Female,176,1,Games programmer; Multimedia specialist
"$52,580",471,Female,12508,1,Payroll clerk
"$52,565",472,Female,153207,1,Office administrator; Office manager
"$52,298",473,Female,309,1,Chemical production machine operator
"$52,295",474,Female,136,1,Court bailiff or sheriff
"$52,214",475,Female,2148,1,Company rep. – industrial; Sales representative – industrial products
"$52,177",476,Female,4331,1,Dietitian
"$52,124",477,Female,154,1,Television equipment operator; Vision mixer – television
"$52,064",478,Female,29483,1,Social worker
"$52,044",479,Female,1115,1,Liaison officer
"$52,039",480,Female,5546,1,Hotel manager; Motel manager
"$52,018",481,Female,2541,1,Factory manager; Manufacturer
"$52,016",482,Female,610,1,Consultant – insurance (clerical)
"$52,006",483,Female,2004,1,Tax agent or consultant
"$51,948",484,Female,2682,1,Arts administrator; Arts manager
"$51,929",485,Female,1552,1,Councillor; Local government legislator
